nser,dim,orig_eps,delta,prover,verifier,comm
2,16,1e-3,1e-10,7e6,5e6,1.6e6
2,16,1e-2,1e-10,6.9e4,5.0e4,1.6e4
2,16,1e-1,1e-10,7.1e2,5.3e2,1.6e2
2,16,1e0,1e-10,8.8,6.6,1.6
2,64,1e-3,1e-10,3e7,2e7,6.5e6
2,64,1e-2,1e-10,3e5,2e5,6.5e4
2,64,1e-1,1e-10,2.8e3,2.1e3,6.5e2
2,64,1e0,1e-10,33,26,6.5
2,256,1e-3,1e-10,1e8,8e7,2.6e7
2,256,1e-2,1e-10,1e6,8e5,2.6e5
2,256,1e-1,1e-10,1.1e4,8e3,2.6e3
2,256,1e0,1e-10,1.2e2,84,26
2,1024,1e-3,1e-10,4e8,3e8,1.0e8
2,1024,1e-2,1e-10,4e6,3e6,1.0e6
2,1024,1e-1,1e-10,4.2e4,3.2e4,1.0e4
2,1024,1e0,1e-10,4.2e2,3.2e2,1.0e2
2,4096,1e-3,1e-10,2e9,1e9,4e8
2,4096,1e-2,1e-10,2e7,1e7,4e6
2,4096,1e-1,1e-10,2e5,1e5,3e4
2,4096,1e0,1e-10,1.7e3,1.3e3,4.0e2